regnr,model_year,fuel,body_type,price_sek,odometer_km,price_per_1000km,url
TNG159,2018,Miljöbränsle/Hybrid,Halvkombi,135000,90000,1500.0,https://www.blocket.se/annons/1401704097
GJD48X,2019,Diesel,SUV,160000,137420,1164.31,https://www.blocket.se/annons/1401810267
LRO335,2017,Bensin,Halvkombi,154000,52000,2961.54,https://www.blocket.se/annons/1401816196
ONS641,2016,Diesel,Familjebuss,50000,248215,201.44,https://www.blocket.se/annons/1401816028
TYX878,2015,Diesel,Kombi,80000,340000,235.29,https://www.blocket.se/annons/1401824184
HSD80F,2021,Miljöbränsle/Hybrid,Kombi,479000,53000,9037.74,https://www.blocket.se/annons/1401679453
DXZ218,2015,Diesel,SUV,164900,117840,1399.36,https://www.blocket.se/annons/1401811521
HHD98C,2019,El,Sedan,249500,97000,2572.16,https://www.blocket.se/annons/1401759367
RNP392,2015,Bensin,Halvkombi,125000,125190,998.48,https://www.blocket.se/annons/1401826202
PWL471,2015,Bensin,Halvkombi,124500,74990,1660.22,https://www.blocket.se/annons/1401815053
YZJ303,2018,Diesel,SUV,465000,91590,5076.97,https://www.blocket.se/annons/1401724483
RMF105,2017,Bensin,Halvkombi,95000,34270,2772.1,https://www.blocket.se/annons/1401812260
LAN373,2016,Diesel,Sedan,229000,136000,1683.82,https://www.blocket.se/annons/1401824665
ATK936,2015,Diesel,Halvkombi,100000,157580,634.6,https://www.blocket.se/annons/1401793589
GTC488,2015,Diesel,Kombi,105000,193650,542.22,https://www.blocket.se/annons/1401819564
GNE074,2017,Bensin,Halvkombi,79900,124650,640.99,https://www.blocket.se/annons/1401824832
PSS786,2019,Diesel,Kombi,290000,116840,2482.03,https://www.blocket.se/annons/1401822578
YLK302,2017,Diesel,Skåpbil,60000,222900,269.18,https://www.blocket.se/annons/1401820956
XJE865,2015,Diesel,Kombi,220000,226090,973.06,https://www.blocket.se/annons/1401807931
GMY622,2015,Diesel,Kombi,89000,313000,284.35,https://www.blocket.se/annons/1401780860
YWY606,2018,Diesel,SUV,129000,101870,1266.32,https://www.blocket.se/annons/1401818963
DCY163,2017,Diesel,SUV,295000,200000,1475.0,https://www.blocket.se/annons/1401808384
PLS764,2017,Diesel,Kombi,229000,267500,856.07,https://www.blocket.se/annons/1401824826
OGY231,2016,Diesel,Kombi,139500,93760,1487.84,https://www.blocket.se/annons/1401814836
PTP669,2016,Miljöbränsle/Hybrid,Kombi,158000,137560,1148.59,https://www.blocket.se/annons/1401826406
